,model,sequence,activationDense,optimizer,dropout1,units,epochs,batchsize,validation_split,RMSE,MSE,MAE,Time
0,DNN,1h,tanh,adam,0.795696407994891,97,98,43,0.1,0.03013153374195099,0.0009079092997126281,0.018967118114233017,17.585649251937866
0,DNN,1h,tanh,adam,0.7794062193640215,22,85,23,0.2,0.03474288061261177,0.0012070678640156984,0.02204989641904831,19.619282722473145
0,DNN,1h,sigmoid,adam,0.795696407994891,97,98,43,0.1,0.033080440014600754,0.0010943155502900481,0.020071696490049362,16.172645568847656
0,DNN,1h,sigmoid,adam,0.7794062193640215,22,85,23,0.2,0.04311724752187729,0.0018590970430523157,0.026168812066316605,18.85319757461548
0,DNN,1h,tanh,adadelta,0.795696407994891,97,98,43,0.1,0.17794354259967804,0.03166390582919121,0.17522402107715607,15.930931329727173
0,DNN,1h,tanh,adadelta,0.7794062193640215,22,85,23,0.2,0.19951723515987396,0.03980712965130806,0.19568519294261932,18.863140106201172
0,DNN,1h,sigmoid,adadelta,0.795696407994891,97,98,43,0.1,0.08103826642036438,0.006567200180143118,0.07356859743595123,16.35512399673462
0,DNN,1h,sigmoid,adadelta,0.7794062193640215,22,85,23,0.2,0.07113715261220932,0.005060494411736727,0.06323528289794922,18.562690019607544
0,DNN,1h,tanh,adamax,0.795696407994891,97,98,43,0.1,0.02633918635547161,0.0006937527214176953,0.016100138425827026,16.440959215164185
0,DNN,1h,tanh,adamax,0.7794062193640215,22,85,23,0.2,0.028083201497793198,0.0007886661915108562,0.018252307549118996,18.20118761062622
0,DNN,1h,sigmoid,adamax,0.795696407994891,97,98,43,0.1,0.02595752291381359,0.0006737930234521627,0.01632915623486042,16.130773067474365
0,DNN,1h,sigmoid,adamax,0.7794062193640215,22,85,23,0.2,0.022631540894508362,0.0005121866124682128,0.014065500348806381,18.778048515319824
0,DNN,3h,tanh,adam,0.795696407994891,97,98,43,0.1,0.04453425854444504,0.001983300084248185,0.026329735293984413,22.761476516723633
0,DNN,3h,tanh,adam,0.7794062193640215,22,85,23,0.2,0.040478747338056564,0.0016385288909077644,0.024087201803922653,22.262794971466064
0,DNN,3h,sigmoid,adam,0.795696407994891,97,98,43,0.1,0.042584724724292755,0.0018134588608518243,0.025410139933228493,22.712627410888672
0,DNN,3h,sigmoid,adam,0.7794062193640215,22,85,23,0.2,0.0398920401930809,0.0015913748648017645,0.023473042994737625,22.448381662368774
0,DNN,3h,tanh,adadelta,0.795696407994891,97,98,43,0.1,0.12337249517440796,0.01522077340632677,0.12094758450984955,22.73730778694153
0,DNN,3h,tanh,adadelta,0.7794062193640215,22,85,23,0.2,0.16156098246574402,0.02610194869339466,0.15768343210220337,22.1005539894104
0,DNN,3h,sigmoid,adadelta,0.795696407994891,97,98,43,0.1,0.06378764659166336,0.004068864043802023,0.05576575547456741,22.97955298423767
0,DNN,3h,sigmoid,adadelta,0.7794062193640215,22,85,23,0.2,0.07125906646251678,0.005077854264527559,0.06345044076442719,21.981473207473755
0,DNN,3h,tanh,adamax,0.795696407994891,97,98,43,0.1,0.037032417953014374,0.0013713999651372433,0.022777901962399483,22.698858499526978
0,DNN,3h,tanh,adamax,0.7794062193640215,22,85,23,0.2,0.035604722797870636,0.0012676962651312351,0.021825715899467468,22.32919669151306
0,DNN,3h,sigmoid,adamax,0.795696407994891,97,98,43,0.1,0.04074748232960701,0.0016603573458269238,0.023782141506671906,22.81311845779419
0,DNN,3h,sigmoid,adamax,0.7794062193640215,22,85,23,0.2,0.031975679099559784,0.0010224441066384315,0.01997196115553379,22.03658413887024
0,DNN,6h,tanh,adam,0.795696407994891,97,98,43,0.1,0.044657256454229355,0.001994270598515868,0.02636486291885376,26.200271606445312
0,DNN,6h,tanh,adam,0.7794062193640215,22,85,23,0.2,0.03697153925895691,0.0013668948085978627,0.022242577746510506,27.05190086364746
0,DNN,6h,sigmoid,adam,0.795696407994891,97,98,43,0.1,0.04326114058494568,0.0018715261248871684,0.026198845356702805,26.309404134750366
0,DNN,6h,sigmoid,adam,0.7794062193640215,22,85,23,0.2,0.04181557148694992,0.0017485420685261488,0.02465813234448433,27.262611150741577
0,DNN,6h,tanh,adadelta,0.795696407994891,97,98,43,0.1,0.14895331859588623,0.022187089547514915,0.14631888270378113,25.566434621810913
0,DNN,6h,tanh,adadelta,0.7794062193640215,22,85,23,0.2,0.10581741482019424,0.011197325773537159,0.10366281121969223,27.253050565719604
0,DNN,6h,sigmoid,adadelta,0.795696407994891,97,98,43,0.1,0.06793206930160522,0.004614765755832195,0.059963736683130264,25.825891971588135
0,DNN,6h,sigmoid,adadelta,0.7794062193640215,22,85,23,0.2,0.06551754474639893,0.0042925490997731686,0.05764522776007652,27.3598895072937
0,DNN,6h,tanh,adamax,0.795696407994891,97,98,43,0.1,0.03779854252934456,0.0014287298545241356,0.02321595698595047,26.066433668136597
0,DNN,6h,tanh,adamax,0.7794062193640215,22,85,23,0.2,0.033323775976896286,0.0011104741133749485,0.0203829538077116,27.321958541870117
0,DNN,6h,sigmoid,adamax,0.795696407994891,97,98,43,0.1,0.04281439632177353,0.001833072630688548,0.025509769096970558,26.197134733200073
0,DNN,6h,sigmoid,adamax,0.7794062193640215,22,85,23,0.2,0.03813247010111809,0.0014540853444486856,0.022910477593541145,27.489278316497803
0,DNN,12h,tanh,adam,0.795696407994891,97,98,43,0.1,0.044505294412374496,0.001980721252039075,0.026323450729250908,44.70770335197449
0,DNN,12h,tanh,adam,0.7794062193640215,22,85,23,0.2,0.04416639730334282,0.0019506707321852446,0.02618919312953949,29.87058973312378
0,DNN,12h,sigmoid,adam,0.795696407994891,97,98,43,0.1,0.04333575814962387,0.0018779878737404943,0.026187323033809662,45.05456233024597
0,DNN,12h,sigmoid,adam,0.7794062193640215,22,85,23,0.2,0.04340965673327446,0.0018843983998522162,0.02619677409529686,29.312489986419678
0,DNN,12h,tanh,adadelta,0.795696407994891,97,98,43,0.1,0.21776340901851654,0.04742090031504631,0.21551185846328735,44.82381892204285
0,DNN,12h,tanh,adadelta,0.7794062193640215,22,85,23,0.2,0.10980463027954102,0.012057057581841946,0.10677874833345413,29.695478200912476
0,DNN,12h,sigmoid,adadelta,0.795696407994891,97,98,43,0.1,0.07194539904594421,0.0051761409267783165,0.06394436955451965,44.758739709854126
0,DNN,12h,sigmoid,adadelta,0.7794062193640215,22,85,23,0.2,0.06909804046154022,0.004774539265781641,0.061273448169231415,29.741265773773193
0,DNN,12h,tanh,adamax,0.795696407994891,97,98,43,0.1,0.04425168037414551,0.0019582111854106188,0.026296047493815422,44.771260261535645
0,DNN,12h,tanh,adamax,0.7794062193640215,22,85,23,0.2,0.044637396931648254,0.0019924973603338003,0.02633536607027054,33.11192226409912
0,DNN,12h,sigmoid,adamax,0.795696407994891,97,98,43,0.1,0.04326563701033592,0.0018719154177233577,0.026178177446126938,45.26902914047241
0,DNN,12h,sigmoid,adamax,0.7794062193640215,22,85,23,0.2,0.04055279493331909,0.0016445292858406901,0.02485913224518299,29.852935075759888
0,DNN,1d,tanh,adam,0.795696407994891,97,98,43,0.1,0.044449303299188614,0.0019757405389100313,0.02614453434944153,70.84632587432861
0,DNN,1d,tanh,adam,0.7794062193640215,22,85,23,0.2,0.044817857444286346,0.002008640207350254,0.026197586208581924,39.93927454948425
0,DNN,1d,sigmoid,adam,0.795696407994891,97,98,43,0.1,0.043326485902071,0.0018771844916045666,0.02601039595901966,70.98528146743774
0,DNN,1d,sigmoid,adam,0.7794062193640215,22,85,23,0.2,0.04320138692855835,0.0018663599621504545,0.025944428518414497,39.954674243927
0,DNN,1d,tanh,adadelta,0.795696407994891,97,98,43,0.1,0.2911260724067688,0.08475438505411148,0.28863418102264404,70.4985499382019
0,DNN,1d,tanh,adadelta,0.7794062193640215,22,85,23,0.2,0.16288626194000244,0.02653193287551403,0.15962018072605133,40.04785752296448
0,DNN,1d,sigmoid,adadelta,0.795696407994891,97,98,43,0.1,0.08700975030660629,0.007570696994662285,0.07987458258867264,70.73938226699829
0,DNN,1d,sigmoid,adadelta,0.7794062193640215,22,85,23,0.2,0.07130005210638046,0.005083697848021984,0.06347596645355225,39.990984201431274
0,DNN,1d,tanh,adamax,0.795696407994891,97,98,43,0.1,0.044120658189058304,0.0019466326339170337,0.026107830926775932,70.42355418205261
0,DNN,1d,tanh,adamax,0.7794062193640215,22,85,23,0.2,0.04397502914071083,0.00193380331620574,0.025837799534201622,40.264103412628174
0,DNN,1d,sigmoid,adamax,0.795696407994891,97,98,43,0.1,0.04324813187122345,0.0018704008543863893,0.02599506452679634,70.89094686508179
0,DNN,1d,sigmoid,adamax,0.7794062193640215,22,85,23,0.2,0.04340166971087456,0.001883705030195415,0.026018602773547173,40.00578212738037
0,DNN,3d,tanh,adam,0.795696407994891,97,98,43,0.1,0.04351630061864853,0.001893668551929295,0.025170207023620605,175.17628717422485
0,DNN,3d,tanh,adam,0.7794062193640215,22,85,23,0.2,0.045154061168432236,0.002038889331743121,0.025485219433903694,64.7225935459137
0,DNN,3d,sigmoid,adam,0.795696407994891,97,98,43,0.1,0.04293004795908928,0.0018429888878017664,0.025070125237107277,173.42216730117798
0,DNN,3d,sigmoid,adam,0.7794062193640215,22,85,23,0.2,0.0430712066590786,0.001855128793977201,0.02510346844792366,64.34763741493225
0,DNN,3d,tanh,adadelta,0.795696407994891,97,98,43,0.1,0.09092102199792862,0.008266632445156574,0.08916893601417542,174.513765335083
0,DNN,3d,tanh,adadelta,0.7794062193640215,22,85,23,0.2,0.11648692935705185,0.01356920413672924,0.11293605715036392,64.61616849899292
0,DNN,3d,sigmoid,adadelta,0.795696407994891,97,98,43,0.1,0.06749766319990158,0.0045559341087937355,0.059625256806612015,172.99929404258728
0,DNN,3d,sigmoid,adadelta,0.7794062193640215,22,85,23,0.2,0.07259098440408707,0.005269451532512903,0.06482307612895966,71.30935168266296
0,DNN,3d,tanh,adamax,0.795696407994891,97,98,43,0.1,0.043399129062891006,0.001883484423160553,0.025155238807201385,173.19090485572815
0,DNN,3d,tanh,adamax,0.7794062193640215,22,85,23,0.2,0.0446569062769413,0.001994239166378975,0.025375930592417717,64.9166271686554
0,DNN,3d,sigmoid,adamax,0.795696407994891,97,98,43,0.1,0.04288733750581741,0.0018393236678093672,0.025065744295716286,173.98967957496643
0,DNN,3d,sigmoid,adamax,0.7794062193640215,22,85,23,0.2,0.043123770505189896,0.0018596595618873835,0.025107089430093765,64.558354139328
0,DNN,7d,tanh,adam,0.795696407994891,97,98,43,0.1,0.0463547520339489,0.002148763043805957,0.025838930159807205,313.3182635307312
0,DNN,7d,tanh,adam,0.7794062193640215,22,85,23,0.2,0.04723279923200607,0.002230937359854579,0.026042353361845016,138.09410881996155
0,DNN,7d,sigmoid,adam,0.795696407994891,97,98,43,0.1,0.047343287616968155,0.0022413870319724083,0.026064686477184296,315.68565702438354
0,DNN,7d,sigmoid,adam,0.7794062193640215,22,85,23,0.2,0.04724181815981865,0.0022317892871797085,0.026050599291920662,137.95492219924927
0,DNN,7d,tanh,adadelta,0.795696407994891,97,98,43,0.1,0.2049841284751892,0.04201849177479744,0.20247621834278107,314.88357043266296
0,DNN,7d,tanh,adadelta,0.7794062193640215,22,85,23,0.2,0.1666983664035797,0.027788346633315086,0.1640143245458603,137.03246068954468
0,DNN,7d,sigmoid,adadelta,0.795696407994891,97,98,43,0.1,0.06525858491659164,0.004258682951331139,0.05663116276264191,314.3203213214874
0,DNN,7d,sigmoid,adadelta,0.7794062193640215,22,85,23,0.2,0.06737083196640015,0.004538828507065773,0.05901944264769554,137.80939745903015
0,DNN,7d,tanh,adamax,0.795696407994891,97,98,43,0.1,0.04661015793681145,0.002172506880015135,0.025899749249219894,315.8593010902405
0,DNN,7d,tanh,adamax,0.7794062193640215,22,85,23,0.2,0.04750426858663559,0.0022566555999219418,0.02613947167992592,138.19904589653015
0,DNN,7d,sigmoid,adamax,0.795696407994891,97,98,43,0.1,0.04749424383044243,0.0022557033225893974,0.02609957382082939,316.2880046367645
0,DNN,7d,sigmoid,adamax,0.7794062193640215,22,85,23,0.2,0.047244299203157425,0.0022320239804685116,0.02604685351252556,138.2881453037262
